id,instasi,index_2023,domain1,domain2,domain3,domain4
i2023110600312,Pemerintah Provinsi Kalimantan Utara,2.83,3,2.4,1,3.69
i2023110600620,Pemerintah kab. Malinau,2.34,2.1,1.1,1,3.57
i2023110600621,Pemerintah kab. Nunukan,2.61,1.9,2.1,1.18,3.62
i2023110600622,Pemerintah kab. Tana Tidung,2.34,1.2,1.7,1,3.49
i2023110600508,Pemerintah Kota Tarakan,2.92,2.3,2.3,1.64,3.9
i2023110600447,Pemerintah Provinsi Sulawesi Utara,2.3,2.9,1.7,1.55,2.74
i2023110600448,Pemerintah kab. Minahasa,1.81,2.1,1.2,1,2.36
i2023110600067,Pemerintah kab. Bolaang Mongondow,3.52,3.6,3.2,2.73,3.96
i2023110600449,Pemerintah kab. Kepulauan Sangihe,2.29,3.2,1.7,1.18,2.75
i2023110600557,Pemerintah kab. Minahasa Selatan,2.19,1.1,1.5,1,3.31
i2023110600265,Pemerintah kab. Kepulauan Talaud,2.18,2.8,1.6,1,2.75
i2023110600450,Pemerintah kab. Minahasa Utara,2.68,3,2.4,1.82,3.05
i2023110600068,Pemerintah kab. Bolaang Mongondow Utara,2.19,2.1,1.5,1.27,2.92
i2023110600558,Pemerintah kab. Siau Tagulandang Biaro,2.15,2.3,1.2,1,3.05
i2023110600266,Pemerintah kab. Minahasa Tenggara,2.83,3,2.4,2.36,3.18
i2023110600267,Pemerintah kab. Bolaang Mongondow Selatan,2.34,2.1,1.7,1.55,3.05
i2023110600559,Pemerintah kab. Bolaang Mongondow Timur,2.46,2.8,1.6,1,3.36
i2023110600268,Pemerintah Kota Manado,2.95,3.3,1.6,1.82,3.99
i2023110600451,Pemerintah Kota Tomohon,3,2.8,2.7,2.27,3.49
i2023110600270,Pemerintah Kota KotaMobagu,2.73,3.2,2.6,1.73,3.02
i2023110600452,Pemerintah Provinsi Gorontalo,3.22,4.4,3,2.36,3.31
i2023110600271,Pemerintah kab. Gorontalo,2.68,2.8,2.2,1.45,3.36
i2023110600560,Pemerintah kab. Boalemo,2.02,1,1,1,3.25
i2023110600561,Pemerintah kab. Pohuwato,2.41,1.5,1.6,1,3.62
i2023110600272,Pemerintah kab. Bone Bolango,2.95,3.8,2,1.36,3.81
i2023110600562,Pemerintah Kab. Gorontalo Utara,2.64,3,2.3,1.36,3.19
i2023110600453,Pemerintah Kota Gorontalo,2.59,3,2,1,3.37
i2023110600454,Pemerintah kab. Poso,2.13,3,2.1,1,2.31
i2023110600563,Pemerintah kab. Donggala,1.64,1,1,1,2.4
i2023110600564,Pemerintah kab. Tolitoli,2.18,3,1.5,1,2.74
i2023110600565,Pemerintah kab. Banggai,3.23,4,2.7,2.36,3.62
i2023110600455,Pemerintah kab. Buol,2.95,3.9,2.5,1,3.63
i2023110600456,Pemerintah kab. Morowali,2.88,2.9,2.5,1.18,3.7
i2023110600457,Pemerintah kab. Banggai Kepulauan,2.32,3.1,1.2,1,3.18
i2023110600566,Pemerintah kab. Parigi Moutong,2.68,2.2,1.8,1,3.63
i2023110600567,Pemerintah kab. Tojo Una Una,2.13,2.7,1,1,2.99
i2023110600274,Pemerintah kab. Sigi,2.16,1.5,1.5,1,3.12
i2023110600568,Pemerintah kab. Banggai Laut,1.47,1.8,1,1,1.81
i2023110600569,Pemerintah kab. Morowali Utara,2.08,1.7,1.7,1,2.79
i2023110600275,Pemerintah Provinsi Sulawesi Selatan,3.09,2.6,2.8,1.91,3.81
i2023110600459,Pemerintah kab. Pinrang,2.79,3.7,2.8,1,3.18
i2023110600460,Pemerintah kab. Gowa,1.7,3,2,2,3.24
i2023110600069,Pemerintah kab. Wajo,2.67,2.9,1.8,1,3.69
i2023110600276,Pemerintah kab. Bone,2.85,3.2,2.1,1.7,3.56
i2023110600570,Pemerintah kab. Tana Toraja,1.7,2.3,1,1,2.12
i2023110600277,Pemerintah kab. Maros,2.55,2.7,1.9,1,3.43
i2023110600461,Pemerintah kab. Luwu,2.58,2.1,2.1,1,3.56
i2023110600278,Pemerintah kab. Sinjai,2.67,2.6,2.3,1,3.49
i2023110600462,Pemerintah kab. Bulukumba,2.3,2.8,1.9,1,2.85
