id,instansi,indeks_2018,indeks_2019,indeks_2020
i2023110600297,Pemerintah Kab. Timor Tengah Utara,1.4,1.4,1.4
i2023110600588,Pemerintah Kota Kupang,1.64,1.47,1.47
i2023110600447,Pemerintah Provinsi Sulawesi Utara,,1.78,1.78
i2023110600067,Pemerintah Kab. Bolaang Mongondow,,2.14,2.14
i2023110600267,Pemerintah Kab. Bolaang Mongondow Selatan,,1.32,1.32
i2023110600559,Pemerintah Kab. Bolaang Mongondow Timur,,1.46,1.46
i2023110600068,Pemerintah Kab. Bolaang Mongondow Utara,,1.3,1.3
i2023110600449,Pemerintah Kab. Kepulauan Sangihe,,2.11,2.11
i2023110600557,Pemerintah Kab. Minahasa Selatan,,1.25,1.25
i2023110600266,Pemerintah Kab. Minahasa Tenggara,,2.58,2.58
i2023110600450,Pemerintah Kab. Minahasa Utara,,1.18,1.18
i2023110600558,Pemerintah Kab. Siau Tagulandang Biaro,,1.4,1.4
i2023110600269,Pemerintah Kota Bitung,,1.68,1.68
i2023110600270,Pemerintah Kota KotaMobagu,,1.15,1.15
i2023110600268,Pemerintah Kota Manado,,2.41,2.64
i2023110600451,Pemerintah Kota Tomohon,,1.65,1.65
i2023110600452,Pemerintah Provinsi Gorontalo,1.48,3.18,3.18
i2023110600272,Pemerintah Kab. Bone Bolango,1.87,2.42,2.3
i2023110600271,Pemerintah Kab. Gorontalo,1.39,1.5,1.5
i2023110600562,Pemerintah Kab. Gorontalo Utara,1.21,1.21,1.21
i2023110600561,Pemerintah Kab. Pohuwato,1.34,1.34,1.34
i2023110600453,Pemerintah Kota Gorontalo,2.11,1.95,1.95
i2023110600505,Pemerintah Provinsi Sulawesi Barat,1.46,1.61,1.61
i2023110600507,Pemerintah Kab. Majene,1,1,1
i2023110600618,Pemerintah Kab. Mamasa,1.27,1.27,1.27
i2023110600506,Pemerintah Kab. Mamuju,1.49,1.69,1.69
i2023110600619,Pemerintah Kab. Mamuju Tengah,1.4,1.4,1.4
i2023110600617,Pemerintah Kab. Pasangkayu,1.32,1.57,1.57
i2023110600076,Pemerintah Kab. Polewali Mandar,2.51,2.57,3.3
i2023110600273,Pemerintah Provinsi Sulawesi Tengah,2.24,2.05,2.05
i2023110600565,Pemerintah Kab. Banggai,1.48,1.72,1.72
i2023110600457,Pemerintah Kab. Banggai Kepulauan,1.31,1.3,1.3
i2023110600569,Pemerintah Kab. Morowali Utara,1.47,1.47,1.47
i2023110600566,Pemerintah Kab. Parigi Moutong,1.95,1.95,1.95
i2023110600274,Pemerintah Kab. Sigi,2.11,1.95,1.95
i2023110600567,Pemerintah Kab. Tojo Una Una,1.34,1.21,1.21
i2023110600458,Pemerintah Kota Palu,1.66,1.54,1.54
i2023110600275,Pemerintah Provinsi Sulawesi Selatan,2.08,2.66,3.08
i2023110600463,Pemerintah Kab. Bantaeng,1.76,2.74,2.46
i2023110600280,Pemerintah Kab. Barru,1.24,1.65,1.65
i2023110600276,Pemerintah Kab. Bone,1.5,1.61,1.61
i2023110600462,Pemerintah Kab. Bulukumba,2.09,2.05,2.05
i2023110600282,Pemerintah Kab. Enrekang,1.56,2.15,2.15
i2023110600460,Pemerintah Kab. Gowa,1.72,1.72,1.72
i2023110600464,Pemerintah Kab. Jeneponto,1.42,2.16,2.16
i2023110600279,Pemerintah Kab. Kepulauan Selayar,1.54,1.54,1.54
i2023110600461,Pemerintah Kab. Luwu,1.29,1.53,1.53
i2023110600572,Pemerintah Kab. Luwu Timur,1.89,1.89,1.89
i2023110600070,Pemerintah Kab. Luwu Utara,2.12,2.77,2.71
