id,instansi,indeks_2018,indeks_2019,indeks_2020
i2023110600438,Pemerintah Kab. Tabalong,1.92,2.3,2.29
i2023110600439,Pemerintah Kab. Tanah Bumbu,1.73,2.37,3
i2023110600257,Pemerintah Kab. Tanah Laut,1.42,2.76,3.21
i2023110600258,Pemerintah Kab. Tapin,2.07,2.31,2.16
i2023110600440,Pemerintah Kota Banjarbaru,1.88,2.77,2.62
i2023110600261,Pemerintah Kota Banjarmasin,1.93,3.01,3.01
i2023110600312,Pemerintah Provinsi Kalimantan Utara,1.55,1.78,1.78
i2023110600077,Pemerintah Kab. Bulungan,1.57,1.57,1.57
i2023110600622,Pemerintah Kab. Tana Tidung,1.15,1.93,1.93
i2023110600508,Pemerintah Kota Tarakan,1.32,1.32,1.32
i2023110600288,Pemerintah Provinsi Bali,1.62,1.62,1.62
i2023110600475,Pemerintah Kab. Badung,2.56,2.88,2.88
i2023110600292,Pemerintah Kab. Bangli,2.33,2.17,2.17
i2023110600289,Pemerintah Kab. Buleleng,2.99,3.7,3.7
i2023110600290,Pemerintah Kab. Gianyar,1.76,2.51,3.17
i2023110600071,Pemerintah Kab. Jembrana,2.77,2.65,2.66
i2023110600291,Pemerintah Kab. Karangasem,1.74,2.05,2.05
i2023110600474,Pemerintah Kab. Klungkung,2.1,2.78,3.1
i2023110600293,Pemerintah Kab. Tabanan,1.23,2.82,2.82
i2023110600294,Pemerintah Kota Denpasar,2.64,3.33,3.33
i2023110600072,Pemerintah Provinsi NTB,2.95,2.77,2.77
i2023110600477,Pemerintah Kab. Dompu,1.45,1.82,1.82
i2023110600073,Pemerintah Kab. Lombok Barat,2.55,2.45,2.45
i2023110600476,Pemerintah Kab. Lombok Tengah,2.15,2.15,2.15
i2023110600583,Pemerintah Kab. Lombok Timur,1.36,1.36,1.36
i2023110600478,Pemerintah Kab. Lombok Utara,1.33,1.39,1.39
i2023110600295,Pemerintah Kab. Sumbawa,1.8,2.36,2.36
i2023110600074,Pemerintah Kab. Sumbawa Barat,1.99,2.23,2.23
i2023110600075,Pemerintah Kota Mataram,2.71,2.51,2.51
i2023110600296,Pemerintah Provinsi NTT,1.26,2.23,3.26
i2023110600481,Pemerintah Kab. Alor,1.89,1.89,1.89
i2023110600585,Pemerintah Kab. Belu,1.46,1.56,1.56
i2023110600484,Pemerintah Kab. Ende,1.81,1.81,1.81
i2023110600483,Pemerintah Kab. Flores Timur,1.04,1.04,1.04
i2023110600480,Pemerintah Kab. Kupang,1.23,1.23,1.23
i2023110600493,Pemerintah Kab. Malaka,1.18,1.18,1.18
i2023110600485,Pemerintah Kab. Manggarai,1.82,1.91,1.91
i2023110600488,Pemerintah Kab. Manggarai Barat,1.72,2.15,2.15
i2023110600489,Pemerintah Kab. Manggarai Timur,1.72,1.53,1.53
i2023110600491,Pemerintah Kab. Nagekeo,1.76,2,2
i2023110600586,Pemerintah Kab. Ngada,1.27,1.27,1.27
i2023110600487,Pemerintah Kab. Rote Ndao,1.33,1.33,1.33
i2023110600300,Pemerintah Kab. Sabu Raijua,1,1,1
i2023110600482,Pemerintah Kab. Sikka,1.3,1.3,1.3
i2023110600486,Pemerintah Kab. Sumba Barat,1.53,2,2
i2023110600490,Pemerintah Kab. Sumba Barat Daya,1.11,1.55,1.55
i2023110600492,Pemerintah Kab. Sumba Tengah,1.3,1.3,1.3
i2023110600299,Pemerintah Kab. Sumba Timur,1.16,1.16,1.16
i2023110600298,Pemerintah Kab. Timor Tengah Selatan,1.53,1.27,1.27
