id,instansi,indeks_2018,indeks_2019,indeks_2020
i2023110600277,Pemerintah Kab. Maros,1.92,1.92,1.92
i2023110600465,Pemerintah Kab. Pangkajene dan Kepulauan,1.34,1.55,1.55
i2023110600459,Pemerintah Kab. Pinrang,2.47,3.37,3.37
i2023110600281,Pemerintah Kab. Sidenreng Rappang,1.32,1.91,1.91
i2023110600278,Pemerintah Kab. Sinjai,1.43,1.43,1.43
i2023110600466,Pemerintah Kab. Soppeng,1.66,2.03,2.03
i2023110600571,Pemerintah Kab. Takalar,1.7,1.7,1.7
i2023110600570,Pemerintah Kab. Tana Toraja,1.58,1.58,1.58
i2023110600573,Pemerintah Kab. Toraja Utara,1.45,1.45,1.45
i2023110600069,Pemerintah Kab. Wajo,1.41,1.26,1.26
i2023110600283,Pemerintah Kota Makassar,2.6,2.6,2.6
i2023110600468,Pemerintah Kota Palopo,1.88,2.07,2.07
i2023110600467,Pemerintah Kota Parepare,2.13,2.13,2.13
i2023110600469,Pemerintah Provinsi Sulawesi Tenggara,1.51,1.51,1.51
i2023110600577,Pemerintah Kab. Bombana,1.67,1.69,1.69
i2023110600575,Pemerintah Kab. Buton,1.63,1.63,1.63
i2023110600472,Pemerintah Kab. Buton Selatan,1.07,1.07,1.07
i2023110600286,Pemerintah Kab. Buton Tengah,1.19,1.02,1.02
i2023110600471,Pemerintah Kab. Buton Utara,2.2,2.16,2.16
i2023110600284,Pemerintah Kab. Kolaka,1.79,2.03,2.03
i2023110600580,Pemerintah Kab. Kolaka Timur,1.41,1.41,1.41
i2023110600285,Pemerintah Kab. Kolaka Utara,1.27,1.74,1.74
i2023110600574,Pemerintah Kab. Konawe,1.7,1.73,1.73
i2023110600581,Pemerintah Kab. Konawe Kepulauan,1.39,1.39,1.39
i2023110600470,Pemerintah Kab. Konawe Selatan,1.75,1.75,1.75
i2023110600579,Pemerintah Kab. Konawe Utara,1.31,1.31,1.31
i2023110600576,Pemerintah Kab. Muna,1.77,1.66,1.66
i2023110600582,Pemerintah Kab. Muna Barat,1.24,1.24,1.24
i2023110600578,Pemerintah Kab. Wakatobi,1.66,1.66,1.66
i2023110600473,Pemerintah Kota Baubau,1.59,1.59,1.59
i2023110600287,Pemerintah Kota Kendari,2.22,2.3,2.37
i2023110600301,Pemerintah Provinsi Maluku,1.38,1.91,1.91
i2023110600687,Pemerintah Kab. Kepulauan Aru,1.33,1.33,1.73
i2023110600494,Pemerintah Kab. Maluku Barat Daya,1.54,1.54,1.28
i2023110600589,Pemerintah Kab. Maluku Tengah,1.56,1.56,1.33
i2023110600590,Pemerintah Kab. Maluku Tenggara,1.33,1.33,1.54
i2023110600688,Pemerintah Kab. Maluku Tenggara Barat,1.68,1.68,1.56
i2023110600302,Pemerintah Kab. Seram Bagian Barat,1.1,1.1,1.1
i2023110600593,Pemerintah Kab. Seram Bagian Timur,1.33,1.33,1.33
i2023110600303,Pemerintah Kota Ambon,2.93,2.72,2.72
i2023110600595,Pemerintah Kota Tual,1.62,1.62,1.62
i2023110600495,Pemerintah Provinsi Maluku Utara,1,1,1
i2023110600596,Pemerintah Kab. Halmahera Barat,1.91,1.91,1.91
i2023110600689,Pemerintah Kab. Halmahera Tengah,1,1,1
i2023110600690,Pemerintah Kab. Halmahera Timur,1.7,1.7,1.7
i2023110600496,Pemerintah Kab. Halmahera Utara,1,1,1
i2023110600691,Pemerintah Kab. Kepulauan Sula,1.48,1.48,1.48
i2023110600600,Pemerintah Kota Ternate,1.38,1.38,1.38
i2023110600497,Pemerintah Kota Tidore Kepulauan,1.64,1.64,1.64
i2023110600501,Pemerintah Provinsi Papua Barat,1.18,1.18,1.18
i2023110600512,Pemerintah Kab. Fak-Fak,1,1.47,1.47
i2023110600513,Pemerintah Kab. Kaimana,1.37,1.37,1.37
