id,instansi,indeks_2018,indeks_2019,indeks_2020
i2023110600664,Sekretariat Jenderal Dewan Perwakilan Daerah,1.35,2.57,
i2023110600665,Sekretariat Mahkamah Agung RI,2.57,3.81,
i2023110600666,Sekretariat Jenderal Mahkamah Konstitusi,2.97,2.97,
i2023110600667,Sekretariat Jenderal Komisi Yudisial,2.5,2.5,
i2023110600668,Sekretariat Jenderal Badan Pemeriksa Keuangan,3.57,2.49,
i2023110600123,Radio Republik Indonesia,2.39,2.66,
i2023110600325,Televisi Republik Indonesia,1.96,2.11,
i2023110600669,Sekretariat Badan Amil Zakat Nasional,1.94,2.11,
i2023110600670,Sekretariat Badan Nasional Pengelola Perbatasan,1.23,2.05,
i2023110600671,Sekretariat Badan Nasional Sertifikasi Profesi,1.91,2.68,
i2023110600672,Sekretariat Badan Pengawas Pemilihan Umum,1.58,3.3,
i2023110600673,Sekretariat Dewan Jaminan Sosial Nasional,1.07,1.94,
i2023110600674,Sekretariat Dewan Ketahanan Nasional,2.31,1.37,
i2023110600675,Sekretariat Kantor Staf Presiden,2.36,2.27,
i2023110600676,Sekretariat Komisi Aparatur Sipil Negara,1.15,1.21,
i2023110600677,Sekretariat Komisi Informasi Pusat,1.23,1.23,
i2023110600678,Sekretariat Komisi Kejaksaan,1.23,1.23,
i2023110600679,Sekretariat Komisi Pemberantasan Korupsi,2.82,1.15,
i2023110600680,Sekretariat Komisi Penyiaran Indonesia,1.21,1,
i2023110600681,Sekretariat Komisi Nasional Hak Asasi Manusia,2.05,1.68,
i2023110600682,Sekretariat Komite Akreditasi Nasional,2.23,1.91,
i2023110600683,Sekretariat Konsil Kedokteran Indonesia,1.47,2.23,
i2023110600684,Sekretariat Ombudsman Republik Indonesia,1.45,1.41,
i2023110600685,Sekretariat Pusat Pelaporan dan Analisis Transaksi Keuangan,3.1,2.32,
i2023110600017,Pemerintah Aceh,2.26,3,3
i2023110600339,Pemerintah Kab. Aceh Barat,1.5,1.5,1.5
i2023110600528,Pemerintah Kab. Aceh Barat Daya,1.27,1.27,1.27
i2023110600522,Pemerintah Kab. Aceh Besar,2.16,1.97,1.97
i2023110600530,Pemerintah Kab. Aceh Jaya,1.72,1.72,1.72
i2023110600525,Pemerintah Kab. Aceh Selatan,1.26,1.26,1.26
i2023110600342,Pemerintah Kab. Aceh Singkil,1.42,1.42,1.42
i2023110600343,Pemerintah Kab. Aceh Tamiang,1.63,2.09,2.09
i2023110600526,Pemerintah Kab. Aceh Tengah,1.55,1.41,1.41
i2023110600527,Pemerintah Kab. Aceh Tenggara,1.47,1.47,1.47
i2023110600338,Pemerintah Kab. Aceh Timur,1.19,2.05,2.05
i2023110600524,Pemerintah Kab. Aceh Utara,1.36,1.36,1.36
i2023110600345,Pemerintah Kab. Bener Meriah,1.38,1.8,1.8
i2023110600341,Pemerintah Kab. Bireuen,1.37,1.37,1.37
i2023110600529,Pemerintah Kab. Gayo Lues,1.37,1.37,1.37
i2023110600344,Pemerintah Kab. Nagan Raya,1.64,1.64,1.64
i2023110600523,Pemerintah Kab. Pidie,1.38,1.38,1.38
i2023110600531,Pemerintah Kab. Pidie Jaya,1.75,1.59,1.59
i2023110600129,Pemerintah Kota Banda Aceh,2.42,2.24,2.87
i2023110600347,Pemerintah Kota Langsa,1.34,1.34,1.34
i2023110600348,Pemerintah Kota Lhokseumawe,1.6,1.6,1.6
i2023110600346,Pemerintah Kota Sabang,1.43,1.44,1.44
i2023110600349,Pemerintah Kota Subulussalam,1.9,1.9,1.9
i2023110600130,Pemerintah Provinsi Sumatera Utara,3.18,2.96,2.96
i2023110600354,Pemerintah Kab. Asahan,1.15,1.93,1.93
